barcode,sex,head_width_mm,head_thickness_mm,thorax_width_mm,abdomen_width_mm,length_t1_to_t3,length_t4_to_t6_or_t7_males,caste,Pi,head_volume_geom_estimate,head_surface_area_geom_estimate,thorax_volume_geom_estimate,thorax_surface_area_geom_estimate,abdomen_volume_geom_estimate,abdomen_surface_area_geom_estimate,all_tagmata_volume_geom_estimate,all_tagmata_surface_area_geom_estimate,head_volume_model,head_surface_area_model,thorax_volume_model,thorax_surface_area_model,abdomen_volume_model,abdomen_surface_area_model,all_tagmata_volume_model,all_tagmata_surface_area_model,whole_body_volume_model,whole_body_surface_area_model,head_volume_diff,head_surface_area_diff,thorax_volume_diff,thorax_surface_area_diff,abdomen_volume_diff,abdomen_surface_area_diff,all_tagmata_volume_diff,all_tagmata_surface_area_diff
UCSB-IZC00036309,M,4.25,1.62,5.4,5.35,5.27,2.14,drone,3.141592654,22.98173201,50.00237407,82.4479576,89.92023573,134.5056859,159.4792219,239.9353756,299.4018317,42.734825,77.265,184.83675,161.156,120.13,168.964,352.4986667,433.514,382.691,718.063,19.75309299,27.26262593,102.3887924,71.23576427,-14.3756859,9.4847781,112.5632911,134.1121683
UCSB-IZC00010344,W,3.96,1.18,3.88,4.24,3.86,2.87,worker,3.141592654,14.53323381,39.31263383,30.58396578,56.47829609,68.00928154,99.63630437,113.1264811,195.4272343,25.278975,57.666425,91.822825,135.71975,91.18685,132.72475,189.50325,242.5075,213.6895,432.27975,10.74574119,18.35379117,61.23885922,79.24145391,23.17756846,33.08844563,76.3767689,47.0802657
UCSB-IZC00038712,W,3.67,1.32,3.8,4.07,3.51,2.53,worker,3.141592654,13.96355311,36.3760301,28.73091201,52.04016815,56.63704967,88.52751575,99.33151479,176.943714,25.540425,53.680925,75.872275,122.501,59.923875,99.787225,167.947,213.84125,189.8275,363.65275,11.57687189,17.3048949,47.14136299,70.46083185,3.28682533,11.25970925,68.61548521,36.897536
UCSB-IZC00010513,W,3.72,1.19,3.9,4.32,3.42,2.89,worker,3.141592654,12.93369819,35.64451025,31.05935577,58.62965874,64.24833437,96.34228759,108.2413883,190.6164566,18.71685,39.023625,47.80565,77.689925,58.20205,85.858475,201.0985,233.00075,222.0055,396.895,5.78315181,3.37911475,16.74629423,19.06026626,-6.04628437,-10.48381259,92.8571117,42.3842934
UCSB-IZC00037044,W,3.82,1.44,3.93,4.5,4.33,3.31,worker,3.141592654,16.50361559,40.20296119,31.78163777,63.61725124,86.41343293,116.6050637,134.6986863,220.4252762,20.59465,46.398825,51.768725,94.1549,79.335375,112.41225,154.5445,228.1685,175.84775,415.0005,4.09103441,6.19586381,19.98708723,30.53764876,-7.07805793,-4.1928137,19.8458137,7.7432238
UCSB-IZC00038880,M,4.33,1.35,5.06,5.64,6.32,4.12,drone,3.141592654,19.87922469,47.81488311,67.83442887,99.93280567,192.2040962,198.842845,279.9177498,346.5905338,28.597475,55.7236,124.83475,159.7715,153.36125,173.05325,310.87325,322.312,338.1035,601.84975,8.71825031,7.90871689,57.00032113,59.83869433,-38.8428462,-25.789595,30.9555002,-24.2785338
UCSB-IZC00042074,W,3.72,1.21,3.66,4.45,3.05,2.19,worker,3.141592654,13.15107127,35.87824474,25.67094632,62.21138852,58.78976215,92.86061596,97.61177974,190.9502492,27.9942,61.157025,70.307425,129.7773333,69.970575,109.52675,160.2585,234.71575,187.18175,412.8615,14.84312873,25.27878026,44.63647868,67.56594478,11.18081285,16.66613404,62.64672026,43.7655008
UCSB-IZC00036327,W,3.73,1.23,3.59,4.13,3.2,2.27,worker,3.141592654,13.44041431,36.26764515,24.22601423,53.58583173,53.00531856,85.48904185,90.6717471,175.3425187,27.691875,42.426125,43.216475,69.947625,54.141725,82.502725,124.663425,195.3565,144.6315,407.10225,14.25146069,6.15847985,18.99046077,16.36179327,1.13640644,-2.98631685,33.9916779,20.0139813
UCSB-IZC00010524,W,3.74,1.57,4.39,4.49,4.48,3.56,worker,3.141592654,17.2477615,40.41847444,44.29882256,63.33482206,89.72433125,119.4409391,151.2709153,223.1942356,20.68125,48.181075,56.2176,92.836975,75.096225,112.0595,84.052575,203.742,173.25925,329.7765,3.4334885,7.76260056,11.91877744,29.50215294,-14.62810625,-7.3814391,-67.2183403,-19.4522356
UCSB-IZC00010557,W,3.77,1.12,3.75,4.57,4.51,1.95,worker,3.141592654,12.50231982,35.59063193,27.61165418,65.61184841,84.63928445,116.8209748,124.7532585,218.0234552,24.940875,55.402625,88.354875,128.261,89.024975,121.76325,201.0985,233.00075,222.0055,396.895,12.43855518,19.81199307,60.74322082,62.64915159,4.38569055,4.9422752,76.3452415,14.9772948
UCSB-IZC00010368,M,4.33,1.44,5.5,5.86,4.11,2.9,drone,3.141592654,21.20450634,49.03916177,87.11374629,107.8810351,136.9190137,162.8186038,245.2372663,319.7388006,28.365575,55.723425,136.91675,178.4975,96.620675,142.3345,307.19025,419.82325,353.5705,732.95775,7.16106866,6.68426323,49.80300371,70.6164649,-40.2983387,-20.4841038,61.9529837,100.0844494
UCSB-IZC00058917,M,4.38,1.55,5.64,5.74,4.57,2.68,drone,3.141592654,23.35445842,51.46305758,93.93683733,103.5079381,141.3745921,165.403741,258.6658879,320.3747367,27.6598,64.10773333,209.272,298.667,167.7663333,231.758,406.318,496.4923333,414.1565,638.084,4.30534158,12.64467575,115.3351627,195.1590619,26.3917412,66.354259,147.6521121,176.1175966
UCSB-IZC00063126,Q,3.79,1.41,4.73,4.75,5.06,5.5,queen,3.141592654,15.90696824,39.3514325,55.40922101,70.88218425,122.1536309,147.4515142,193.4698201,257.6851309,23.04865,55.3655,110.773975,148.079,151.26375,173.5835,286.52675,330.07425,179.5465,447.6975,7.14168176,16.0140675,55.36475399,77.19681575,29.1101191,26.1319858,93.0569299,72.3891191
UCSB-IZC00063125,Q,3.8,1.33,4.76,4.88,5.09,3.53,queen,3.141592654,15.08372881,38.55990823,56.4702201,74.81514409,117.2103924,142.9068748,188.7643413,256.2819271,29.233625,58.774875,110.8025,144.603,152.5935,168.012,300.36725,344.438,338.567,614.08275,14.14989619,20.21496677,54.3322799,69.78785591,35.3831076,25.1051252,111.6029087,88.1560729
UCSB-IZC00046552,M,4.18,1.63,5.22,5.72,4.2,4.01,drone,3.141592654,22.36814912,48.85050913,74.47493474,102.7878851,142.2755643,163.9358257,239.1186481,315.5742199,23.712875,48.69375,121.06495,145.97825,120.942725,145.437,283.42025,323.6965,311.8233333,566.817,1.34472588,-0.15675913,46.59001526,43.1903649,-21.3328393,-18.4988257,44.3016019,8.1222801
UCSB-IZC00038704,W,3.77,1.53,3.94,4.26,4.22,3.3,worker,3.141592654,17.0790619,40.4465917,32.02486353,57.01236684,75.8264479,106.7888121,124.9303733,204.2477706,34.85965,64.7079,72.225925,116.9015,126.6105,155.08925,240.12925,293.6695,299.07875,518.27725,17.7805881,24.2613083,40.20106147,59.88913316,50.7840521,48.3004379,115.1988767,89.4217294
UCSB-IZC00056586,M,4.41,1.53,4.92,5.62,5.35,2.1,drone,3.141592654,23.36998809,51.74627215,62.3582517,99.22531901,150.078295,172.2277284,235.8065348,323.1993195,40.2628,69.9875,188.14925,205.3395,165.7345,185.5905,404.76325,399.1885,450.002,716.00075,16.89281191,18.24122785,125.7909983,106.114181,15.656205,13.3627716,168.9567152,75.9891805
UCSB-IZC00010548,W,3.86,1.27,3.95,4.13,3.52,2.62,worker,3.141592654,14.86169046,38.80495246,32.26932709,53.58583173,58.85510519,90.79710874,105.9861227,183.1878929,24.612025,53.2369,66.144825,114.749,68.86895,100.7656,161.05225,230.8985,186.157,409.93575,9.75033454,14.43194754,33.87549791,61.16316827,10.01384481,9.96849126,55.0661273,47.7106071
UCSB-IZC00038675,W,3.37,1.17,3.87,4.01,3.35,2.75,worker,3.141592654,10.43603543,30.22636248,30.34810076,50.51712403,53.8849323,85.45938838,94.66906849,166.2028749,15.368275,44.625775,56.361225,103.386425,51.582675,98.410825,130.66625,191.00675,149.04125,359.05975,4.93223957,14.39941252,26.01312424,52.86930097,-2.3022573,12.95143662,35.99718151,24.8038751